MOF, H,C,N,F,Cl,Br,Zn,Cu,Cd,Co,Mn,Ag,Ni,Fe,Mo,In,metal type, total degree of unsaturation,metalic percentage, oxygetn-to-metal ratio,electronegtive-to-total ratio, weighted electronegativity per atom, nitrogen to oxygen 
UCUTIW_clean.cif,24,48,0,0,0,0,4,0,0,0,0,0,0,0,0,0, Zn,37,8.333333333,4,0.173913043,0.59826087,0
UDAMET_clean.cif,0,64,0,0,0,0,0,0,0,0,0,64,0,0,0,0, Ag,37,100,0,0,0,0
UDANEV_clean.cif,24,120,48,0,0,0,0,0,0,0,0,0,0,0,0,32, In,97,26.66666667,3,0.45,1.488,0.5
UDANIY_clean.cif,102,300,0,0,0,0,24,0,0,0,0,0,0,0,0,0, Zn,250,8,3.25,0.154761905,0.532380952,0
UDAWOO_clean.cif,192,288,96,0,0,0,24,0,0,0,0,0,0,0,0,0, Zn,133,8.333333333,0,0.142857143,0.434285714,0
UDAWUU_clean.cif,96,144,48,0,0,0,12,0,0,0,0,0,0,0,0,0, Zn,71,8.333333333,0,0.146341463,0.444878049,0
UDAXAB_clean.cif,192,288,96,0,0,0,24,0,0,0,0,0,0,0,0,0, Zn,129,8.333333333,0,0.141176471,0.429176471,0
UDAXEF_clean.cif,192,288,96,0,0,0,24,0,0,0,0,0,0,0,0,0, Zn,137,8.333333333,0,0.144578313,0.439518072,0
UDAXIJ_clean.cif,192,288,96,0,0,0,24,0,0,0,0,0,0,0,0,0, Zn,125,8.333333333,0,0.139534884,0.424186047,0
UDEGIW_clean.cif,72,136,8,0,0,0,0,8,0,0,0,0,0,0,0,0, Cu,99,5.882352941,4,0.15625,0.525,0.25
UDEMEW_manual.cif,288,1224,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,1081,16.66666667,4.333333333,0.34,1.1696,0
UDEPIE_clean.cif,32,80,24,0,0,0,0,0,0,0,0,0,0,0,0,0, ,59,10,4,0.318181818,1.04,0.75
UDICAN_clean.cif,24,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,61,33.33333333,2.833333333,0.361702128,1.244255319,0
UDICER_clean.cif,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,37,11.11111111,6,0.375,1.29,0
UDIDAO_clean.cif,36,108,72,0,0,0,0,0,0,32,0,0,0,0,0,0, Co,73,29.62962963,2.125,0.443037975,1.432911392,1.058823529
UDIHIZ_charged.cif,240,252,12,0,0,0,0,0,0,0,0,0,0,0,0,0, ,130,16.66666667,8.571428571,0.410596026,1.407152318,0.033333333
UDIQII_clean.cif,64,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,57,9.090909091,6,0.230769231,0.793846154,0
UDOVOA_clean.cif,384,672,0,0,0,0,120,0,0,0,0,0,0,0,0,0, Zn,481,17.85714286,4,0.273972603,0.942465753,0
UDOVUG_charged.cif,64,112,0,0,0,0,16,0,0,0,0,0,0,0,0,0, Zn,81,14.28571429,5,0.277777778,0.955555556,0
UDUMIP02_clean.cif,128,288,0,0,0,0,0,0,0,0,0,48,0,0,0,0, Ag,225,16.66666667,4,0.292682927,1.006829268,0
UDUMIP03_clean.cif,128,288,0,0,0,0,0,0,0,0,0,48,0,0,0,0, Ag,225,16.66666667,4,0.292682927,1.006829268,0
UDUMIP_clean.cif,128,288,0,0,0,0,0,0,0,0,0,48,0,0,0,0, Ag,225,16.66666667,4,0.292682927,1.006829268,0
UFASAW_charged.cif,76,140,44,0,0,0,0,0,20,0,0,0,0,0,0,0, Cd,92,14.28571429,3.4,0.32183908,1.056551724,0.647058824
UFASEA_ion_b.cif,74,130,36,0,0,0,0,0,16,0,0,0,0,0,0,0, Cd,85,12.30769231,2.5,0.110465116,0.359069767,0.9
UFEMIC_clean.cif,0,40,16,0,0,0,0,16,0,0,0,0,0,0,0,0, Cu,37,40,0,0.222222222,0.675555556,0
UFENAW_clean.cif,0,96,0,0,0,0,12,0,0,0,0,0,0,0,0,0, Zn,97,12.5,4,0.307692308,1.058461538,0
UFENEZ_clean.cif,0,16,8,0,0,0,0,8,0,0,0,0,0,0,0,0, Cu,15,50,0,0.25,0.76,0
UFEVIL_clean.cif,72,72,24,0,0,0,0,0,4,0,0,0,0,0,0,0, Cd,31,5.555555556,0,0.139534884,0.424186047,0
UFEXEJ_clean.cif,12,30,12,0,0,0,0,3,0,0,0,0,0,0,0,0, Cu,22,30,3,0.433333333,1.437333333,0.444444444
UFEXIN_clean.cif,12,30,12,0,0,0,0,3,0,0,0,0,0,0,0,0, Cu,22,30,3,0.433333333,1.437333333,0.444444444
UFEXOT_clean.cif,60,90,36,0,0,0,0,9,0,0,0,0,0,0,0,0, Cu,52,30,3,0.397959184,1.32,0.444444444
UFILUR02_clean.cif,0,24,24,0,0,0,0,0,0,0,4,0,0,0,0,0, Mn,19,33.33333333,0,0.428571429,1.302857143,0
UFILUR_clean.cif,0,24,24,0,0,0,0,0,0,0,4,0,0,0,0,0, Mn,19,33.33333333,0,0.428571429,1.302857143,0
UFISOS_clean.cif,0,32,0,0,16,0,0,0,0,0,0,0,0,16,0,0, Fe,25,50,4.5,0.647058824,2.192941176,0
UFISUY_clean.cif,0,32,0,0,16,0,0,0,0,0,0,0,0,16,0,0, Fe,25,50,4.5,0.647058824,2.192941176,0
UFITEJ_clean.cif,4,16,0,0,8,0,0,0,0,0,0,0,0,8,0,0, Fe,11,50,4.5,0.611111111,2.071111111,0
UFOFIF_clean.cif,8,24,20,0,0,0,0,0,0,0,4,0,0,0,0,0, Mn,16,25,0,0.344827586,1.048275862,0
UFUNAK_clean.cif,16,24,4,0,0,0,0,2,0,0,0,0,0,0,0,0, Cu,16,8.333333333,4,0.222222222,0.734814815,0.5
UFUNIS_clean.cif,32,48,8,0,0,0,0,4,0,0,0,0,0,0,0,0, Cu,31,8.333333333,4,0.222222222,0.734814815,0.5
UFUQIV_clean.cif,128,160,32,0,0,0,0,8,0,0,0,0,0,0,0,0, Cu,89,5,0,0.097560976,0.296585366,0
UGAPOI_clean.cif,64,80,16,0,0,0,0,0,0,0,0,0,0,0,0,0, ,45,5,0,0.097560976,0.296585366,0
UGAQEY_clean.cif,128,160,32,0,0,0,0,0,0,0,0,0,8,0,8,0, NiMo,89,10,1,0.136363636,0.432727273,2
UGELIB_clean.cif,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0, ,-7,0,4,0.692307692,2.423076923,0
UGEPEB01_clean.cif,20,24,4,0,0,0,0,4,0,0,0,0,0,0,0,0, Cu,14,16.66666667,3,0.25,0.835,0.333333333
UGEPEB_clean.cif,20,24,4,0,0,0,0,4,0,0,0,0,0,0,0,0, Cu,14,16.66666667,3,0.25,0.835,0.333333333
UGIGAS01_clean.cif,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,-3,0,8,0.615384615,2.116923077,0
UGIGAS_clean.cif,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,-3,0,8,0.615384615,2.116923077,0
UGOCAW_clean.cif,864,1536,480,0,0,0,0,288,0,0,0,0,0,0,0,0, Cu,985,18.75,2.555555556,0.31147541,1.022295082,0.652173913
UGOFED_clean.cif,96,192,16,0,0,0,0,0,0,0,0,0,0,8,0,0, Fe,141,6.25,2.666666667,0.137931034,0.456091954,0.5
UGOSOY_charged.cif,64,96,32,0,4,0,0,4,0,0,0,0,0,0,0,0, Cu,55,4.166666667,6,0.267857143,0.859285714,1.333333333
UGUGUZ_clean.cif,0,48,12,0,0,0,0,0,0,0,0,0,0,0,0,0, ,46,16.66666667,6,0.517241379,1.737931034,0.25
